,n_bodies,time
0,100.0,0.0
1,100.0,0.5000000000000002
2,100.0,1.0000000000000007
3,100.0,1.500000000000001
4,100.0,2.0000000000000013
5,100.0,2.4999999999999907
6,100.0,2.99999999999998
7,100.0,3.4999999999999694
8,100.0,3.9999999999999587
9,100.0,4.4999999999999485
10,100.0,4.999999999999938
11,100.0,5.499999999999927
12,100.0,5.9999999999999165
13,100.0,6.499999999999906
14,100.0,6.999999999999895
15,100.0,7.4999999999998845
16,100.0,7.999999999999874
17,100.0,8.499999999999863
18,100.0,8.999999999999853
19,100.0,9.499999999999842
20,100.0,9.999999999999831
21,100.0,10.49999999999982
22,100.0,10.99999999999981
23,100.0,11.4999999999998
24,100.0,11.999999999999789
25,100.0,12.499999999999778
26,100.0,12.999999999999767
27,100.0,13.499999999999757
28,100.0,13.999999999999746
29,100.0,14.499999999999735
30,100.0,14.999999999999725
31,100.0,15.499999999999714
32,100.0,15.999999999999703
33,100.0,16.49999999999978
34,100.0,16.999999999999858
35,100.0,17.499999999999936
36,100.0,18.000000000000014
37,99.0,18.500000000000092
38,99.0,19.00000000000017
39,99.0,19.50000000000025
40,99.0,20.000000000000327
41,99.0,20.500000000000405
42,99.0,21.000000000000483
43,99.0,21.50000000000056
44,99.0,22.00000000000064
45,99.0,22.500000000000718
46,99.0,23.000000000000796
47,98.0,23.500000000000874
48,98.0,24.000000000000952
49,98.0,24.50000000000103
50,98.0,25.00000000000111
51,98.0,25.500000000001187
52,98.0,26.000000000001265
53,98.0,26.500000000001343
54,97.0,27.00000000000142
55,97.0,27.5000000000015
56,97.0,28.000000000001577
57,97.0,28.500000000001656
58,97.0,29.000000000001734
59,97.0,29.500000000001812
60,97.0,30.00000000000189
61,97.0,30.500000000001968
62,97.0,31.000000000002046
63,97.0,31.500000000002125
64,97.0,32.0000000000022
65,97.0,32.5000000000021
66,97.0,33.000000000002004
67,96.0,33.500000000001904
68,96.0,34.000000000001805
69,96.0,34.500000000001705
70,96.0,35.000000000001606
71,96.0,35.500000000001506
72,95.0,36.00000000000141
73,95.0,36.50000000000131
74,95.0,37.00000000000121
75,95.0,37.50000000000111
76,95.0,38.00000000000101
77,95.0,38.50000000000091
78,95.0,39.00000000000081
79,95.0,39.50000000000071
80,95.0,40.00000000000061
81,95.0,40.50000000000051
82,95.0,41.00000000000041
83,95.0,41.50000000000031
84,95.0,42.00000000000021
85,95.0,42.500000000000114
86,94.0,43.000000000000014
87,94.0,43.499999999999915
88,94.0,43.999999999999815
89,94.0,44.499999999999716
90,94.0,44.999999999999616
91,94.0,45.49999999999952
92,94.0,45.99999999999942
93,94.0,46.49999999999932
94,94.0,46.99999999999922
95,94.0,47.49999999999912
96,94.0,47.99999999999902
97,94.0,48.49999999999892
98,93.0,48.99999999999882
99,93.0,49.49999999999872
100,93.0,49.99999999999862
101,92.0,50.49999999999852
102,92.0,50.99999999999842
103,92.0,51.49999999999832
104,92.0,51.999999999998224
105,92.0,52.499999999998124
106,92.0,52.999999999998025
107,92.0,53.499999999997925
108,92.0,53.999999999997826
109,92.0,54.499999999997726
110,92.0,54.99999999999763
111,92.0,55.49999999999753
112,92.0,55.99999999999743
113,92.0,56.49999999999733
114,92.0,56.99999999999723
115,92.0,57.49999999999713
116,92.0,57.99999999999703
117,92.0,58.49999999999693
118,92.0,58.99999999999683
119,92.0,59.49999999999673
120,92.0,59.99999999999663
121,92.0,60.49999999999653
122,92.0,60.99999999999643
123,92.0,61.499999999996334
124,92.0,61.999999999996234
125,92.0,62.499999999996135
126,92.0,62.999999999996035
127,92.0,63.499999999995936
128,92.0,63.999999999995836
129,92.0,64.49999999999609
130,92.0,64.99999999999635
131,92.0,65.4999999999966
132,92.0,65.99999999999686
133,92.0,66.49999999999712
134,92.0,66.99999999999737
135,92.0,67.49999999999763
136,92.0,67.99999999999788
137,92.0,68.49999999999814
138,92.0,68.9999999999984
139,92.0,69.49999999999865
140,92.0,69.9999999999989
141,92.0,70.49999999999916
142,92.0,70.99999999999942
143,92.0,71.49999999999967
144,91.0,71.99999999999993
145,91.0,72.50000000000018
146,91.0,73.00000000000044
147,91.0,73.5000000000007
148,91.0,74.00000000000095
149,91.0,74.50000000000121
150,91.0,75.00000000000146
151,91.0,75.50000000000172
152,91.0,76.00000000000198
153,91.0,76.50000000000223
154,91.0,77.00000000000249
155,91.0,77.50000000000274
156,91.0,78.000000000003
157,91.0,78.50000000000325
158,91.0,79.00000000000351
159,91.0,79.50000000000377
160,91.0,80.00000000000402
161,91.0,80.50000000000428
162,91.0,81.00000000000453
163,91.0,81.50000000000479
164,91.0,82.00000000000504
165,91.0,82.5000000000053
166,91.0,83.00000000000556
167,91.0,83.50000000000581
168,91.0,84.00000000000607
169,91.0,84.50000000000632
170,91.0,85.00000000000658
171,91.0,85.50000000000684
172,91.0,86.00000000000709
173,91.0,86.50000000000735
174,91.0,87.0000000000076
175,91.0,87.50000000000786
176,91.0,88.00000000000811
177,91.0,88.50000000000837
178,91.0,89.00000000000863
179,91.0,89.50000000000888
180,91.0,90.00000000000914
181,91.0,90.5000000000094
182,91.0,91.00000000000965
183,91.0,91.5000000000099
184,91.0,92.00000000001016
185,91.0,92.50000000001042
186,91.0,93.00000000001067
187,91.0,93.50000000001093
188,91.0,94.00000000001118
189,91.0,94.50000000001144
190,91.0,95.0000000000117
191,91.0,95.50000000001195
192,91.0,96.00000000001221
193,91.0,96.50000000001246
194,91.0,97.00000000001272
195,91.0,97.50000000001297
196,91.0,98.00000000001323
197,91.0,98.50000000001349
198,91.0,99.00000000001374
